商品ID,商品名称,商品类别,价格,品牌,上架时间,销量,库存,商品描述,平均评分,上架月份,交互次数,购买次数,浏览次数,均用户评分,总金额,BCG类型
P001, iPhone 15 Pro,电子产品,3999,苹果,2023-09-15,1250,89,最新款苹果手机 128GB,4.8,2023-09,1,1,0.0,5.0,2999.0,明星(Star)
P002, 优衣库羊毛大衣,服装,599,优衣库,2023-10-01,890,156,秋冬保暖羊毛大衣,4.5,2023-10,1,1,0.0,4.0,599.0,明星(Star)
P003, Python编程入门,图书,79,人民邮电出版社,2023-08-20,567,234,编程学习必备书籍,4.7,2023-08,1,1,0.0,3.0,79.0,明星(Star)
P004, 兰蔻粉底液,美妆,159,兰蔻,2023-09-10,445,78,持久遮瑕粉底液,4.6,2023-09,1,1,0.0,5.0,159.0,明星(Star)
P005, 耐克运动鞋,运动,999,耐克,2023-10-05,678,123,透气舒适跑步鞋,4.4,2023-10,1,1,0.0,4.0,999.0,明星(Star)
P006, 宜家书桌,家居,799,宜家,2023-09-25,234,67,简约现代办公书桌,4.3,2023-09,1,1,0.0,3.0,799.0,问号(Question)
P007, MacBook Air M2,电子产品,5999,苹果,2023-08-15,456,45,轻薄便携笔记本电脑,4.9,2023-08,1,1,0.0,5.0,5999.0,明星(Star)
P008, ZARA连衣裙,服装,499,ZARA,2023-10-10,567,89,时尚优雅连衣裙,4.2,2023-10,1,1,0.0,4.0,499.0,明星(Star)
P009, 数据分析实战,图书,39,机械工业出版社,2023-09-05,345,178,数据科学学习指南,4.6,2023-09,1,1,0.0,5.0,39.0,问号(Question)
P010, 阿迪达斯运动T恤,运动,1199,阿迪达斯,2023-09-20,789,156,专业运动功能T恤,4.5,2023-09,1,1,0.0,4.0,1199.0,明星(Star)
P011, 雅诗兰黛口红,美妆,299,雅诗兰黛,2023-08-30,334,234,持久显色口红,4.7,2023-08,1,1,0.0,3.0,299.0,问号(Question)
P012, 人类简史,图书,59,中信出版社,2023-07-15,445,289,畅销历史读物,4.8,2023-07,1,1,0.0,5.0,59.0,明星(Star)
P013, 华为Mate 60,电子产品,4999,华为,2023-09-01,667,89,旗舰智能手机,4.6,2023-09,0,0,0.0,0.0,0.0,现金牛(Cash Cow)
P014, H&M牛仔裤,服装,299,H&M,2023-10-15,445,167,经典修身牛仔裤,4.3,2023-10,0,0,0.0,0.0,0.0,现金牛(Cash Cow)
P015, 迪士尼乐园门票,服装,399,迪士尼,2023-08-20,234,567,主题乐园一日票,4.9,2023-08,1,1,0.0,4.0,399.0,问号(Question)
P016, 新百伦跑鞋,运动,199,新百伦,2023-09-12,556,234,专业跑步运动鞋,4.5,2023-09,1,1,0.0,4.0,199.0,明星(Star)
P017, 索尼耳机,电子产品,1999,索尼,2023-08-25,378,89,高音质降噪耳机,4.7,2023-08,1,1,0.0,4.0,799.0,问号(Question)
P018, 雅漾舒缓面霜,美妆,399,雅漾,2023-09-18,445,123,敏感肌专用面霜,4.5,2023-09,2,2,0.0,5.0,698.0,明星(Star)
P019, 无印良品收纳盒,家居,599,无印良品,2023-10-08,667,234,简约收纳解决方案,4.4,2023-10,1,1,0.0,4.0,599.0,明星(Star)
P020, Levi's牛仔裤,服装,899,Levi's,2023-09-05,334,156,经典牛仔品牌,4.6,2023-09,1,1,0.0,4.0,899.0,问号(Question)
P021, 欧莱雅洗发水,美妆,499,欧莱雅,2023-08-15,556,345,深层清洁洗发水,4.3,2023-08,1,1,0.0,5.0,499.0,明星(Star)
